regime_id,rho_global_pre,rho_global_post,rho_discarded_pre,local_unity_post,local_unity_ok_post,global_discarded_budget
Fund=Operating Fund,0.4789487298650509,0.46869412487131784,0.023837499890392223,1.0000000000000002,True,0.02898029690555317
Fund=Waterworks/Stabilization Capital Reserve,0.2885622089913454,0.2933545846954072,0.0037091272590163357,0.9999999999999999,True,0.02898029690555317
Fund=Capital Development Fund,0.17036337171067054,0.17544790406183966,0.0,1.0,True,0.02898029690555317
Fund=Planning & Design,0.02256824180353025,0.022842204121439794,0.00038801153950702804,1.0,True,0.02898029690555317
Fund=Building Fee,0.021827293213963154,0.022027217396015823,0.00043843111808703736,0.9999999999999999,True,0.02898029690555317
Fund=Engineering,0.01773015441543979,0.017633964853979663,0.0006072270985505467,1.0,True,0.02898029690555317
