regime,fund_total_k,fund_weight_global_raw,kept_total_k,fund_weight_global_kept,retained_elements,original_elements,local_discard_share,kept_share_within_fund
Building Fee,9957,0.021827293213963154,9757,0.022027217396015823,3,9,0.02008637139700713,0.9799136286029929
Capital Development Fund,77715,0.17036337171067054,77715,0.17544790406183966,1,1,0.0,1.0
Engineering,8088,0.01773015441543979,7811,0.017633964853979663,2,12,0.034248269040553905,0.9657517309594461
Operating Fund,218483,0.4789487298650509,207609,0.4686941248713179,10,19,0.049770462690461044,0.950229537309539
Planning & Design,10295,0.02256824180353025,10118,0.022842204121439794,3,10,0.017192812044681885,0.9828071879553181
Waterworks/Stabilization Capital Reserve,131634,0.2885622089913454,129942,0.29335458469540715,5,16,0.012853821960891562,0.9871461780391084
