tau_global,tau_local,retained_count,retained_budget,discarded_budget,jaccard_vs_prev,spearman_fund_weights_vs_baseline
0.0025,0.02,30,0.9900498057750147,0.009950194224985314,,1.0
0.005,0.02,24,0.9710197030944469,0.028980296905553166,0.8,1.0
0.0075,0.02,20,0.9477806616802434,0.052219338319756586,0.8333333333333334,1.0
0.01,0.02,20,0.9477806616802434,0.052219338319756586,1.0,1.0
0.015,0.02,20,0.9477806616802434,0.052219338319756586,1.0,1.0
