tau,active_count,discarded_budget_global,jaccard_vs_baseline,spearman_regime_rho_vs_baseline,near_threshold_count,invalid
1.3301802531715342e-06,23681,0.02185638804740938,1.0,1.0,5302,False
1.4964527848179757e-06,20674,0.02609436984910099,0.8730205650099235,1.0,4928,False
1.6627253164644175e-06,18198,0.029999520540967616,0.7684641695874329,1.0,4432,False
1.8289978481108595e-06,16242,0.03340605696777232,0.6858663063215236,1.0,3996,False
1.995270379757301e-06,14580,0.03658090414026712,0.6156834593133735,1.0,3654,False
